ID,Gender,Occupation,CompanySize,HouseHold,Experience,Transportation,Remote,RecommendRemote,RemotePreffered,Productivity,Age,Sector,CompanyAllowChoice,CompanyCommonRemote,CompanySupportRemote,WorkingHoursDiff,PersonalHoursDiff,DomesticHoursDiff,CommuteHoursDiff,BiggestChallenge,BiggestBenefit
1,Female,Clerk,20-199,Couple,More than 5 years,Regional,Hybrid,yes,Hybrid,Increased,48,Secondary,no,yes,no,0,75,0,0,Collaboration,Professional
2,Male,Manager,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,48,Tertiary quinary,yes,yes,yes,0,0,0,0,Technical,Work-life balance
3,Male,Manager,200+,Other,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,38,Tertiary quinary,yes,yes,yes,100,16.669999999999998,40,40,Self management,Work-life balance
4,Female,Professional,20-199,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Remote,Same level,33,Tertiary quaternary,yes,yes,yes,0,100,0,0,Isolation,Work-life balance
6,Male,Other,20-199,Single,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Same level,31,Tertiary quinary,yes,yes,yes,-12.5,50,50,50,Collaboration,Professional
7,Male,Clerk,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,47,Tertiary quaternary,yes,yes,yes,0,25,100,100,Company's policy,Less expenses
8,Male,Manager,1-19,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Dropped,28,Secondary,yes,yes,yes,-25,0,100,100,Caring,Job satisfaction
10,Male,Manager,200+,Other,More than 5 years,Metro,Hybrid,hard to say,Onsite,Dropped,35,Tertiary quinary,yes,yes,yes,0,50,0,0,Isolation,Professional
11,Female,Clerk,200+,Single,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Same level,40,Tertiary quinary,yes,hard to say,yes,0,66.67,0,0,Technical,Professional
12,Male,Professional,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Increased,31,Tertiary quaternary,yes,yes,yes,20,33.33,0,0,Technical,Relationships
13,Female,Professional,200+,Single,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Dropped,26,Tertiary quaternary,yes,yes,yes,12.5,100,0,0,Technical,Less expenses
14,Female,Manager,20-199,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,50,Tertiary quaternary,yes,yes,yes,8.33,25,0,0,Impossible tasks,Less expenses
15,Female,Clerk,1-19,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,58,Secondary,yes,hard to say,yes,0,33.33,0,0,Isolation,Professional
16,Male,Professional,200+,Couple,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Same level,61,Tertiary quinary,yes,yes,yes,12.5,50,33.33,33.33,Technical,Professional
17,Female,Clerk,1-19,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,49,Secondary,hard to say,yes,hard to say,12.5,0,0,0,Technical,Work-life balance
18,Male,Professional,200+,Couple,Between 1 and 5 years,Metro,Almost onsite,no,Hybrid,Dropped,60,Tertiary quaternary,yes,yes,yes,20,0,0,0,Collaboration,Less expenses
19,Male,Other,1-19,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Increased,54,Tertiary quaternary,yes,yes,yes,25,0,0,0,Collaboration,Work-life balance
20,Male,Other,200+,Couple+children,More than 5 years,Metro,Almost onsite,yes,Hybrid,Increased,51,Tertiary quinary,no,no,no,0,50,0,0,Self management,Work-life balance
21,Male,Manager,200+,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Same level,59,Tertiary quinary,yes,yes,yes,0,100,50,50,Collaboration,Work-life balance
23,Male,Professional,20-199,Couple+children,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,61,Secondary,hard to say,yes,hard to say,0,-50,-33.33,-33.33,Collaboration,Less expenses
25,Male,Professional,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,58,Tertiary quaternary,yes,yes,yes,10,66.67,0,0,Collaboration,Work-life balance
27,Female,Professional,200+,Other,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,58,Tertiary quaternary,yes,yes,yes,33.33,100,0,0,Collaboration,Less expenses
29,Female,Professional,200+,Couple+children,Between 1 and 5 years,Regional,Hybrid,hard to say,Hybrid,Increased,36,Tertiary quaternary,hard to say,hard to say,yes,0,20,100,100,Collaboration,Relationships
30,Male,Professional,1-19,Single,More than 5 years,Regional,Remote,yes,Hybrid,Increased,63,Tertiary quinary,yes,yes,hard to say,0,25,100,100,Self management,Professional
31,Male,Manager,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,58,Tertiary quinary,yes,yes,yes,11.76,33.33,50,50,Technical,Professional
32,Male,Manager,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,62,Tertiary quaternary,yes,yes,yes,11.76,0,0,0,Isolation,Professional
34,Male,Manager,200+,Couple+children,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Increased,61,Tertiary quaternary,no,no,no,33.33,0,0,0,Technical,Professional
35,Female,Clerk,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Same level,40,Tertiary quinary,yes,yes,yes,0,33.33,-20,-20,Isolation,Work-life balance
36,Female,Clerk,200+,Single,More than 5 years,Metro,Hybrid,yes,Almost onsite,Same level,29,Tertiary quinary,yes,yes,yes,0,25,0,0,Isolation,Professional
37,Male,Manager,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,47,Tertiary quaternary,yes,yes,yes,20,0,50,50,Isolation,Less expenses
38,Female,Professional,200+,Single,Between 1 and 5 years,Metro,Hybrid,yes,Almost onsite,Increased,49,Tertiary quinary,no,yes,no,0,50,0,0,Collaboration,Work-life balance
39,Male,Professional,200+,Single,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Dropped,24,Tertiary quaternary,hard to say,yes,hard to say,12.5,25,0,0,Technical,Job satisfaction
40,Male,Manager,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,45,Tertiary quaternary,yes,yes,yes,12.5,0,0,0,Working conditions,Work-life balance
41,Female,Professional,20-199,Single,Between 6 and 12 months,Metro,Hybrid,no,Hybrid,Dropped,24,Tertiary quinary,no,no,no,0,50,100,100,Impossible tasks,Job satisfaction
42,Male,Professional,200+,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Increased,33,Tertiary quaternary,yes,yes,hard to say,5.88,25,100,100,Isolation,Less expenses
43,Female,Other,200+,Couple,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Increased,54,Tertiary quinary,yes,yes,yes,25,0,0,0,Motivation,Mental wellbeing
45,Female,Other,1-19,Couple+children,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Increased,53,Primary and Other,yes,yes,yes,0,60,0,0,Isolation,Less expenses
46,Male,Professional,200+,Couple+children,More than 5 years,Metro,Hybrid,yes,Hybrid,Dropped,55,Tertiary quaternary,yes,yes,hard to say,-25,50,0,0,Motivation,Work-life balance
47,Female,Professional,1-19,Couple,More than 5 years,Metro,Remote,hard to say,Hybrid,Dropped,59,Tertiary quinary,hard to say,no,hard to say,33.33,-33.33,0,0,Technical,Professional
48,Male,Manager,20-199,Single,More than 5 years,Metro,Remote,yes,Remote,Increased,56,Tertiary quaternary,no,yes,no,18.75,0,0,0,Company's policy,Work-life balance
49,Female,Manager,200+,Couple,More than 5 years,Metro,Remote,hard to say,Hybrid,Increased,42,Tertiary quinary,yes,yes,yes,5.88,33.33,0,0,Collaboration,Work-life balance
50,Male,Manager,200+,Other,Between 6 and 12 months,Metro,Remote,yes,Hybrid,Dropped,41,Tertiary quaternary,yes,yes,yes,33.33,100,100,100,Isolation,Relationships
52,Male,Professional,1-19,Single,More than 5 years,Regional,Hybrid,yes,Hybrid,Same level,51,Tertiary quinary,hard to say,yes,hard to say,16.669999999999998,0,0,0,Collaboration,Professional
53,Female,Other,1-19,Couple,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,25,Tertiary quinary,hard to say,yes,hard to say,25,100,100,100,Motivation,Work-life balance
56,Male,Other,200+,Single,More than 5 years,Metro,Remote,yes,Onsite,Same level,58,Primary and Other,hard to say,yes,hard to say,0,25,0,0,Isolation,Professional
57,Male,Professional,20-199,Couple+children,More than 5 years,Metro,Hybrid,hard to say,Hybrid,Dropped,56,Tertiary quaternary,hard to say,yes,no,0,0,50,50,Caring,Work-life balance
58,Male,Manager,200+,Single,Between 1 and 5 years,Metro,Almost onsite,yes,Hybrid,Increased,55,Tertiary quinary,yes,yes,hard to say,-6.25,50,0,0,Technical,Professional
59,Male,Professional,200+,Couple,Between 1 and 5 years,Metro,Hybrid,no,Hybrid,Increased,32,Tertiary quinary,yes,no,yes,0,40,50,50,Isolation,Less expenses
60,Male,Professional,1-19,Couple,More than 5 years,Regional,Remote,yes,Remote,Increased,61,Tertiary quaternary,yes,yes,hard to say,12.5,0,0,0,Isolation,Work-life balance
61,Female,Manager,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,54,Tertiary quinary,yes,yes,yes,11.110000000000001,50,100,100,Technical,Job satisfaction
62,Male,Manager,200+,Couple+children,Between 6 and 12 months,Metro,Hybrid,yes,Hybrid,Dropped,60,Tertiary quaternary,yes,yes,yes,11.110000000000001,0,0,0,Collaboration,Professional
63,Female,Manager,1-19,Other,Between 1 and 5 years,Metro,Hybrid,yes,Hybrid,Increased,41,Tertiary quaternary,yes,yes,yes,0,0,0,0,Working conditions,Professional
65,Male,Professional,200+,Couple,More than 5 years,Metro,Hybrid,yes,Hybrid,Increased,64,Tertiary quinary,yes,yes,no,11.110000000000001,0,50,50,Collaboration,Professional
66,Female,Professional,20-199,Couple,More than 5 years,Metro,Remote,hard to say,Hybrid,Same level,58,Tertiary quinary,yes,yes,yes,13.33,0,25,25,Isolation,Work-life balance
68,Male,Clerk,200+,Single,More than 5 years,Metro,Hybrid,no,Hybrid,Dropped,34,Tertiary quinary,hard to say,hard to say,no,-33.33,50,100,100,Working conditions,Work-life balance
69,Female,Clerk,1-19,Other,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,33,Tertiary quinary,no,yes,no,0,100,100,100,Collaboration,Less expenses
70,Female,Professional,200+,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Increased,56,Tertiary quinary,yes,yes,hard to say,12.5,-33.33,100,100,Isolation,Relationships
71,Male,Professional,1-19,Couple,More than 5 years,Metro,Remote,yes,Hybrid,Dropped,59,Tertiary quaternary,yes,yes,hard to say,12.5,0,0,0,Collaboration,Work-life balance
72,Female,Professional,200+,Couple+children,Between 1 and 5 years,Metro,Remote,yes,Hybrid,Increased,33,Tertiary quaternary,yes,yes,yes,6.67,45.45,0,0,Isolation,Work-life balance
73,Female,Professional,1-19,Single,More than 5 years,Metro,Remote,yes,Hybrid,Increased,61,Tertiary quaternary,yes,yes,yes,12.5,33.33,0,0,Technical,Work-life balance
74,Female,Professional,20-199,Couple+children,More than 5 years,Metro,Remote,yes,Hybrid,Same level,35,Tertiary quaternary,no,yes,hard to say,12.5,50,66.67,66.67,Caring,Less expenses
